subject,src,n_trials,score1,score2,score3
a2z58pti5rfdkk,picture8_neutral.jpg,1,1,2,2
a2z58pti5rfdkk,picture9_neutral.jpg,1,2,1,1
a3eqr9c0l23o6e,picture10_neutral.jpg,3,6,2,2
a3eqr9c0l23o6e,picture1_neutral.jpg,3,2,6,6
a3eqr9c0l23o6e,picture1_threat.jpg,3,3.3333333333333335,4.666666666666667,4.666666666666667
a3eqr9c0l23o6e,picture2_threat.jpg,3,4.333333333333333,3.6666666666666665,3.6666666666666665
a3eqr9c0l23o6e,picture3_threat.jpg,3,2,6,6
a3eqr9c0l23o6e,picture4_neutral.jpg,3,7,1,1
a3eqr9c0l23o6e,picture4_threat.jpg,3,7,1,1
a3eqr9c0l23o6e,picture6_neutral.jpg,3,2.6666666666666665,5.333333333333333,5.333333333333333
a3eqr9c0l23o6e,picture7_neutral.jpg,3,2.3333333333333335,5.666666666666666,5.666666666666666
a3eqr9c0l23o6e,picture9_neutral.jpg,3,1.3333333333333333,6.666666666666666,6.666666666666666
a3f293q71v7lxq,picture10_neutral.jpg,1,2,1,1
a3f293q71v7lxq,picture1_neutral.jpg,1,2,1,1
a3f293q71v7lxq,picture1_threat.jpg,1,2,1,1
a3f293q71v7lxq,picture2_neutral.jpg,1,1,2,2
a3f293q71v7lxq,picture2_threat.jpg,1,2,1,1
a3f293q71v7lxq,picture3_threat.jpg,1,2,1,1
a3f293q71v7lxq,picture4_neutral.jpg,1,1,2,2
a3f293q71v7lxq,picture4_threat.jpg,1,2,1,1
a3f293q71v7lxq,picture6_neutral.jpg,1,2,1,1
a3f293q71v7lxq,picture9_neutral.jpg,1,2,1,1
a3ntgjuqjig4n5,picture1_neutral.jpg,1,3,1,1
a3ntgjuqjig4n5,picture1_threat.jpg,1,3,1,1
a3ntgjuqjig4n5,picture2_threat.jpg,1,3,1,1
a3ntgjuqjig4n5,picture3_neutral.jpg,1,3,1,1
a3ntgjuqjig4n5,picture3_threat.jpg,1,3,1,1
a3ntgjuqjig4n5,picture4_neutral.jpg,1,3,1,1
a3ntgjuqjig4n5,picture4_threat.jpg,1,3,1,1
a3ntgjuqjig4n5,picture5_neutral.jpg,1,1,3,3
a3ntgjuqjig4n5,picture6_neutral.jpg,1,1,3,3
a3ntgjuqjig4n5,picture7_neutral.jpg,1,3,1,1
a3o0qzq4v2ixt7,picture10_neutral.jpg,1,10,1,1
a3o0qzq4v2ixt7,picture1_threat.jpg,1,2,9,9
a3o0qzq4v2ixt7,picture2_threat.jpg,1,5,6,6
a3o0qzq4v2ixt7,picture3_neutral.jpg,1,1,10,10
a3o0qzq4v2ixt7,picture3_threat.jpg,1,1,10,10
a3o0qzq4v2ixt7,picture4_neutral.jpg,1,2,9,9
a3o0qzq4v2ixt7,picture4_threat.jpg,1,2,9,9
a3o0qzq4v2ixt7,picture5_neutral.jpg,1,3,8,8
a3o0qzq4v2ixt7,picture7_neutral.jpg,1,5,6,6
a3o0qzq4v2ixt7,picture9_neutral.jpg,1,8,3,3
a3uv55hc87do9c,picture1_neutral.jpg,9,2.111111111111111,2.7777777777777777,2.7777777777777777
a3uv55hc87do9c,picture1_threat.jpg,9,1.8888888888888888,3,3
a3uv55hc87do9c,picture2_threat.jpg,9,2.5555555555555554,2.3333333333333335,2.3333333333333335
a3uv55hc87do9c,picture3_neutral.jpg,9,3.888888888888889,1,1
a3uv55hc87do9c,picture3_threat.jpg,9,2.2222222222222223,2.6666666666666665,2.6666666666666665
a3uv55hc87do9c,picture4_threat.jpg,9,1.8888888888888888,3,3
